epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,489.045,1.34315,2.04661,0.01107,0.04513,0.58294,0.51893,0.51736,0.38662,1.2043,1.30379,0.01779,0.03676,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722
2,871.25,1.32708,1.08089,0.01049,0.04529,0.67911,0.43686,0.47121,0.35093,1.25448,1.58833,0.0183,0.04192,0.0199795,0.00665983,0.0199795,0.00665983,0.0199795,0.00665983,0.0199795,0.00665983
3,1214.01,1.4263,1.22676,0.01065,0.05344,0.61644,0.36369,0.3747,0.26335,1.43148,2.23961,0.01932,0.05159,0.0299686,0.00998954,0.0299686,0.00998954,0.0299686,0.00998954,0.0299686,0.00998954
4,1556.04,1.49431,1.36038,0.01121,0.06021,0.54265,0.39786,0.40864,0.28951,1.37867,1.70671,0.01823,0.05314,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1904.76,1.48895,1.30147,0.0108,0.05804,0.58853,0.4522,0.4393,0.30574,1.37278,1.87514,0.01784,0.05009,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,2254.37,1.46163,1.22069,0.01082,0.05515,0.67726,0.4733,0.48286,0.33976,1.31708,1.5504,0.01919,0.05057,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2604.57,1.43671,1.15783,0.01094,0.05236,0.63885,0.47079,0.49054,0.34664,1.30967,1.61211,0.01783,0.04759,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2945.27,1.43151,1.13435,0.01075,0.05296,0.61615,0.51576,0.51574,0.36112,1.29605,1.61346,0.01768,0.04429,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,3284.45,1.41162,1.10547,0.0107,0.05164,0.58648,0.48015,0.48616,0.34817,1.3028,1.54298,0.0184,0.04077,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,3624.09,1.41301,1.11299,0.01081,0.05089,0.71683,0.48728,0.51009,0.36587,1.25732,1.46019,0.01796,0.03892,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,3964.4,1.41141,1.10516,0.01092,0.04907,0.65644,0.50963,0.52877,0.38682,1.24327,1.31886,0.01808,0.03665,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,4304.29,1.39301,1.06713,0.01079,0.05005,0.66964,0.52459,0.53657,0.38876,1.24793,1.35805,0.01703,0.03747,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
